symbol,name,market
005930,삼성전자,KS
000660,SK하이닉스,KS
005380,현대차,KS
000270,기아,KS
035420,NAVER,KS
035720,카카오,KS
051910,LG화학,KS
006400,삼성SDI,KS
068270,셀트리온,KS
105560,KB금융,KS
055550,신한지주,KS
086790,하나금융지주,KS
003550,LG,KS
012330,현대모비스,KS
028260,삼성물산,KS
032830,삼성생명,KS
015760,한국전력,KS
034730,SK,KS
033780,KT&G,KS
009150,삼성전기,KS
000810,삼성화재,KS
010130,고려아연,KS
011200,HMM,KS
018260,삼성에스디에스,KS
030200,KT,KS
003670,포스코퓨처엠,KS
096770,SK이노베이션,KS
017670,SK텔레콤,KS
000100,유한양행,KS
090430,아모레퍼시픽,KS
003490,대한항공,KS
009540,HD한국조선해양,KS
010950,S-Oil,KS
024110,기업은행,KS
316140,우리금융지주,KS
138040,메리츠금융지주,KS
161390,한국타이어앤테크놀로지,KS
000720,현대건설,KS
047050,포스코인터내셔널,KS
